,id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,year,state,zip_code,school_type,school_level,average_act
944,170705000367,-0.7045285586267943,0.48058667552995343,0.04827051259072355,0.5772978171624709,-0.6018393978348701,2016-2017,IL,60477,Regular School,High,19.2
4671,370488001948,-0.08115981165348571,0.2872388593532206,-0.3754070263165723,-0.2398920117089992,-0.35291254591561005,2016-2017,NC,27863,Regular School,High,21.1782661782662
289,120126002442,0.6834845866112121,-0.1933586010474164,-0.9820806162218803,-0.7421362329584108,0.6368328100546307,2016-2017,FL,34432,Regular School,High,19.029304029304
3504,293084002131,2.608853880046356,-1.6700366998952034,-0.3264472827573311,-0.9241214107381794,0.46127425559041435,2016-2017,MO,65084,Regular School,High,20.6
555,130117002831,2.433855664809392,-1.3084911494043738,-2.421519035176507,-1.4950251858305967,0.6501620901162181,2016-2017,GA,30606,Regular School,High,18.9072039072039
7355,530270001834,-0.39728830568225215,0.9054796836395183,-0.3567146867326696,-0.47924569215565654,-0.545100906633444,2016-2017,WA,98683,Regular School,High,23.7423687423687
3868,341755004550,-0.3303913618769627,1.0983893607188473,0.7836539348503362,1.7508614487801348,-1.7135453137658663,2016-2017,NJ,7930,Regular School,High,24.4261294261294
6270,470402001659,0.07320905276216363,-0.6197687430784141,-1.0340163081014755,-0.3892493724871943,0.3801591614573923,2016-2017,TN,37066,Regular School,High,19.0
5958,422517004080,-0.5594001490123779,0.9595568456468355,0.3685741399099535,-0.19742603614588258,-0.8257612123165825,2016-2017,PA,16901,Regular School,High,21.2271062271062
7501,530792001315,0.13365391255987666,0.5901936337106907,0.5459919774978929,0.4208420381816434,-0.8166087101516878,2016-2017,WA,98155,Regular School,High,24.1575091575092
6369,480771000057,0.16611746798163132,-2.8804309202508516,-0.9799035091974646,-0.9129133819971809,1.4379498558869153,2016-2017,TX,77037,Regular School,High,17.5885225885226
7127,483808011097,-0.3314829463341767,0.9734700514331878,-0.14642811193509422,0.4722744367375588,-0.7470790060718361,2016-2017,TX,78664,Regular School,High,21.7643467643468
1681,180834001429,-0.8274597353728592,0.46472435400863976,0.3719021708690203,-0.03436997357313369,-0.832630543124848,2016-2017,IN,46919,Regular School,High,20.2356532356532
4119,360009606042,-0.6852578238849257,0.8505265206999592,0.1705537356851903,1.0725266426443687,1.350275534469889,2016-2017,NY,11203,Regular School,High,15.9035409035409
2276,250002800537,-0.03682437396061597,0.208790533603061,0.21105552585968004,0.3450010437008867,0.13970044380571184,2016-2017,MA,1129,Regular School,Other,20.3968253968254
6778,482256002294,-0.5139318146059627,0.2864917408155359,0.9084612171031123,0.2028666347780017,-0.09123886612308317,2016-2017,TX,75755,Regular School,High,19.6153846153846
1039,170993004715,3.0683421372544073,-0.013179166550938103,-1.7378950155490747,-1.3896282044476513,2.291451508506973,2016-2017,IL,60612,Regular School,High,19.2
7275,484662005299,-0.6665051007059435,-1.4176466226455087,-0.8635763598973539,-0.6236632180443005,0.1253303643168,2016-2017,TX,77995,Regular School,High,22.6434676434676
5368,391001501488,1.0783285038282464,-1.1155440297980064,-0.7386151421687633,-1.0240804226208626,0.7842019811522325,2016-2017,OH,44077,Regular School,High,18.0
3360,292041001086,-0.1333695761256637,-1.1095047395140025,-0.5031893758876463,-0.6958927365974021,-0.3718129347370755,2016-2017,MO,65340,Regular School,High,20.3
7745,550873001005,0.5464720698666866,-0.5625028110392857,-0.21209227865936076,-0.5867597456341239,-0.23197672882893858,2016-2017,WI,54950,Regular School,High,22.9
3943,360007805114,-0.7129875928418156,2.2518464763123323,0.881286522573804,4.418994957401172,1.9422962486161908,2016-2017,NY,10023,Regular School,High,17.6617826617827
